,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,maracaibo,20.0,CO,1566176363,57.0,3.41,-75.78,80.6,11.41
1,hilo,40.0,US,1566176366,55.0,19.71,-155.08,87.8,6.93
2,klaksvik,100.0,FO,1566176368,93.0,62.23,-6.59,51.8,13.87
3,hobart,40.0,AU,1566176371,52.0,-42.88,147.33,48.0,17.22
4,cape town,40.0,ZA,1566176284,82.0,-33.93,18.42,57.99,9.17
5,castro,0.0,CL,1566176377,80.0,-42.48,-73.76,39.2,4.7
6,kruisfontein,57.0,ZA,1566176379,76.0,-34.0,24.73,57.72,27.4
7,warqla,,,,,,,,
8,butaritari,96.0,KI,1566176385,62.0,3.07,172.79,85.08,5.17
9,jamestown,11.0,AU,1566176388,75.0,-33.21,138.6,45.48,10.78
10,berlevag,92.0,NO,1566176390,82.0,70.86,29.09,55.2,22.32
11,porosozero,83.0,RU,1566176393,88.0,62.72,32.71,51.42,4.18
12,jiddah,,,,,,,,
13,dunedin,86.0,NZ,1566176398,51.0,-45.87,170.5,43.86,1.32
14,vila velha,40.0,BR,1566176402,74.0,-3.71,-38.6,80.6,13.87
15,cockburn harbour,,,,,,,,
16,bluff,0.0,AU,1566176256,52.0,-23.58,149.07,68.52,2.84
17,victoria,75.0,BN,1566176117,83.0,5.28,115.24,80.6,1.12
18,cockburn town,93.0,TC,1566176422,79.0,21.46,-71.14,83.1,20.8
19,santa ines,20.0,EC,1566176425,76.0,-0.82,-78.63,51.8,17.22
20,salinas,75.0,US,1566176428,64.0,36.67,-121.66,75.99,13.87
21,kodiak,1.0,US,1566176431,78.0,39.95,-94.76,82.99,4.7
22,fortuna,1.0,US,1566176434,72.0,40.6,-124.16,71.01,12.75
23,rikitea,66.0,PF,1566176436,71.0,-23.12,-134.97,69.96,12.15
24,vaini,75.0,IN,1566176439,100.0,15.34,74.49,69.8,4.7
25,daru,15.0,PG,1566176442,68.0,-9.07,143.21,78.78,10.56
26,puerto ayora,40.0,EC,1566176445,64.0,-0.74,-90.35,75.2,5.82
27,fallon,20.0,US,1566176447,39.0,46.84,-105.12,78.8,10.29
28,quatre cocos,75.0,MU,1566176394,94.0,-20.21,57.76,69.01,9.44
29,coihaique,0.0,CL,1566176453,64.0,-45.58,-72.07,35.6,4.41
30,east london,32.0,ZA,1566176456,76.0,-33.02,27.91,57.72,15.01
31,dordrecht,3.0,NL,1566176458,87.0,51.8,4.68,61.0,12.75
32,faya,0.0,SA,1566176461,59.0,18.39,42.45,68.0,3.87
33,knysna,0.0,ZA,1566176464,71.0,-34.04,23.05,55.4,12.75
34,nantucket,90.0,US,1566176467,100.0,41.28,-70.1,77.0,8.05
35,bata,91.0,GQ,1566176470,84.0,1.87,9.77,78.06,15.68
36,taolanaro,,,,,,,,
37,hithadhoo,99.0,MV,1566176475,71.0,-0.6,73.08,83.46,9.78
38,port alfred,52.0,ZA,1566176478,85.0,-33.59,26.89,63.0,10.0
39,ossora,100.0,RU,1566176481,98.0,59.24,163.07,51.42,5.01
40,mar del plata,0.0,AR,1566176484,63.0,-46.43,-67.52,34.68,8.63
41,sisimiut,3.0,GL,1566176487,91.0,66.94,-53.67,42.96,8.59
42,pringsewu,86.0,ID,1566176489,92.0,-5.36,104.98,70.14,1.99
43,darhan,100.0,MN,1566176492,89.0,49.49,105.92,53.76,4.92
44,lumeje,0.0,AO,1566176495,36.0,-11.56,20.78,58.08,4.07
45,bredasdorp,14.0,ZA,1566176498,87.0,-34.53,20.04,57.2,8.05
46,itarema,82.0,BR,1566176501,77.0,-2.92,-39.92,76.8,11.34
47,punta arenas,0.0,CL,1566176400,92.0,-53.16,-70.91,28.4,4.7
48,tasbuget,,,,,,,,
49,dabola,78.0,GN,1566176509,95.0,10.74,-11.11,67.44,0.98
50,anloga,20.0,GH,1566176512,88.0,5.79,0.9,77.0,12.75
51,ocampo,25.0,MX,1566176515,40.0,27.32,-102.4,85.98,20.45
52,alyangula,0.0,AU,1566176517,78.0,-13.85,136.42,77.0,6.93
53,oriximina,0.0,BR,1566176520,54.0,-1.77,-55.87,84.18,3.76
54,marabba,100.0,SD,1566176523,82.0,12.35,32.18,76.98,0.49
55,kaitangata,96.0,NZ,1566176526,39.0,-46.28,169.85,51.01,1.99
56,hermanus,30.0,ZA,1566176529,84.0,-34.42,19.24,57.0,5.01
57,touros,75.0,BR,1566176532,94.0,-5.2,-35.46,75.2,5.82
58,tuktoyaktuk,90.0,CA,1566176534,86.0,69.44,-133.03,37.4,8.05
59,namatanai,77.0,PG,1566176537,84.0,-3.66,152.44,79.32,15.1
60,avarua,60.0,CK,1566176318,83.0,-21.21,-159.78,78.8,11.41
61,kavaratti,100.0,IN,1566176543,77.0,10.57,72.64,82.2,14.67
62,esil,92.0,KZ,1566176545,76.0,51.96,66.41,69.06,3.27
63,mutsamudu,,,,,,,,
64,sitka,0.0,US,1566176551,52.0,37.17,-99.65,88.0,11.01
65,ponta do sol,76.0,BR,1566176554,56.0,-20.63,-46.0,67.26,4.05
66,sao jose de ribamar,0.0,BR,1566176556,83.0,-2.56,-44.05,78.8,8.05
67,svetlyy,,,,,,,,
68,yellowknife,90.0,CA,1566176562,93.0,62.45,-114.38,48.2,8.05
69,emerald,0.0,AU,1566176565,31.0,-23.53,148.16,75.99,1.12
70,latehar,97.0,IN,1566176567,95.0,23.74,84.5,73.56,2.82
71,camacha,40.0,PT,1566176570,78.0,33.08,-16.33,71.6,6.93
72,nome,1.0,US,1566176573,74.0,30.04,-94.42,89.6,5.82
73,finnsnes,90.0,NO,1566176575,87.0,69.23,17.98,57.2,2.24
74,hihifo,,,,,,,,
75,chokurdakh,99.0,RU,1566176581,36.0,70.62,147.9,63.3,7.52
76,san juan,12.0,AR,1566176584,73.0,-31.54,-68.53,37.2,2.51
77,gander,90.0,CA,1566176587,77.0,48.95,-54.61,64.4,11.41
78,cancun,40.0,MX,1566176351,74.0,21.17,-86.85,86.0,9.17
79,husavik,2.0,CA,1566176592,28.0,50.56,-96.99,70.0,8.01
80,svetlogorsk,40.0,RU,1566176595,93.0,53.14,59.15,60.8,8.95
81,sompeta,68.0,IN,1566176597,85.0,18.93,84.6,76.26,2.77
82,dikson,100.0,RU,1566176600,92.0,73.51,80.55,40.62,10.38
83,mogadishu,10.0,SO,1566176603,80.0,2.04,45.34,73.2,13.98
84,barentsburg,,,,,,,,
85,albany,75.0,US,1566176609,88.0,42.65,-73.75,73.99,2.93
86,saskylakh,0.0,RU,1566176611,45.0,71.97,114.09,59.16,6.89
87,atuona,0.0,PF,1566176614,75.0,-9.8,-139.03,80.04,16.37
88,carnarvon,0.0,ZA,1566176617,31.0,-30.97,22.13,54.66,16.04
89,hamilton,75.0,CA,1566176390,100.0,43.26,-79.87,77.0,2.24
90,onega,100.0,RU,1566176622,86.0,63.91,38.09,55.56,10.83
91,hovd,0.0,NO,1566176432,71.0,63.83,10.7,61.0,13.87
92,kavieng,13.0,PG,1566176628,78.0,-2.57,150.8,83.1,15.99
93,ancud,0.0,CL,1566176630,80.0,-41.87,-73.83,39.2,4.7
94,ushuaia,0.0,AR,1566176633,69.0,-54.81,-68.31,37.4,28.86
95,tumannyy,,,,,,,,
96,valparaiso,40.0,US,1566176639,69.0,41.47,-87.06,79.0,8.05
97,juneau,75.0,US,1566176402,30.0,58.3,-134.42,64.4,11.41
98,zonguldak,0.0,TR,1566176644,69.0,41.25,31.83,69.42,0.72
99,lebu,46.0,ET,1566176647,93.0,8.96,38.73,55.56,0.56
100,vitim,100.0,RU,1566176650,98.0,59.44,112.57,49.26,4.27
101,kailua,20.0,US,1566176653,62.0,21.39,-157.74,91.4,12.75
102,javanrud,20.0,IR,1566176655,37.0,34.8,46.49,68.0,2.3
103,mataura,43.0,NZ,1566176658,63.0,-46.19,168.86,50.0,4.0
104,whitianga,15.0,NZ,1566176661,62.0,-36.83,175.7,57.0,5.01
105,airai,0.0,TL,1566176664,61.0,-8.93,125.41,79.32,0.18
106,busembatia,55.0,UG,1566176667,72.0,0.77,33.62,68.7,1.28
107,paamiut,100.0,GL,1566176421,96.0,61.99,-49.67,41.34,3.76
108,tasiilaq,77.0,GL,1566176672,70.0,65.61,-37.64,46.4,2.39
109,ilulissat,20.0,GL,1566176675,56.0,69.22,-51.1,44.6,4.16
110,solovetskiy,,,,,,,,
111,georgetown,40.0,GY,1566176614,83.0,6.8,-58.16,80.6,6.93
112,san luis,100.0,AR,1566176518,61.0,-33.3,-66.34,50.16,27.6
113,ribeira grande,100.0,PT,1566176686,87.0,38.52,-28.7,69.24,15.99
114,cache creek,1.0,CA,1566176688,28.0,50.81,-121.33,86.0,9.17
115,boyolangu,25.0,ID,1566176691,82.0,-8.09,111.9,68.88,6.42
116,salalah,90.0,OM,1566176694,94.0,17.01,54.1,77.0,3.36
117,tiarei,20.0,PF,1566176697,58.0,-17.53,-149.33,84.2,11.41
118,maryborough,0.0,AU,1566176691,49.0,-25.54,152.7,72.12,7.02
119,illoqqortoormiut,,,,,,,,
120,khandyga,64.0,RU,1566176705,41.0,62.65,135.58,67.26,2.59
121,lompoc,1.0,US,1566176709,60.0,34.64,-120.46,73.0,12.75
122,nadym,20.0,RU,1566176712,95.0,65.53,72.51,44.94,14.27
123,dori,3.0,BF,1566176714,58.0,14.03,-0.03,83.1,9.66
124,bethel,1.0,US,1566176717,45.0,60.79,-161.76,64.4,19.46
125,high level,90.0,CA,1566176720,71.0,58.52,-117.13,50.0,9.17
126,kropotkin,56.0,RU,1566176723,94.0,45.43,40.58,68.0,6.17
127,necochea,94.0,AR,1566176726,61.0,-38.55,-58.74,41.0,4.0
128,barrow,33.0,AR,1566176729,84.0,-38.31,-60.23,32.52,3.74
129,srednekolymsk,37.0,RU,1566176731,36.0,67.46,153.71,69.6,4.63
130,pansemal,9.0,IN,1566176734,89.0,21.66,74.7,75.72,11.56
131,nyurba,100.0,RU,1566176737,96.0,63.29,118.35,51.6,6.6
132,karlshamn,85.0,SE,1566176740,100.0,56.17,14.86,57.2,3.36
133,busselton,38.0,AU,1566176743,67.0,-33.64,115.35,54.0,11.27
134,vaitupu,,,,,,,,
135,holstebro,4.0,DK,1566176748,93.0,56.36,8.62,57.0,6.93
136,longyearbyen,75.0,NO,1566176751,86.0,78.22,15.63,39.2,5.82
137,mahebourg,75.0,MU,1566176754,94.0,-20.41,57.7,69.01,9.44
138,kapaa,1.0,US,1566176757,58.0,22.08,-159.32,89.6,11.41
139,bowen,0.0,AU,1566176759,53.0,-20.01,148.25,78.01,9.17
140,chuy,27.0,UY,1566176762,70.0,-33.69,-53.46,44.94,17.22
141,aswan,0.0,EG,1566176475,27.0,24.09,32.9,89.6,1.12
142,new norfolk,40.0,AU,1566176768,52.0,-42.78,147.06,48.0,17.22
143,egvekinot,100.0,RU,1566176771,97.0,66.32,-179.17,42.24,8.21
144,biak,82.0,ID,1566176774,94.0,-0.91,122.88,64.92,5.41
145,murgab,0.0,TM,1566176777,42.0,37.5,61.97,68.0,6.93
146,amderma,,,,,,,,
147,manadhoo,100.0,MV,1566176782,77.0,5.77,73.38,82.02,7.29
148,norman wells,40.0,CA,1566176785,99.0,65.28,-126.83,41.0,12.75
149,lagoa,0.0,PT,1566176788,73.0,37.14,-8.45,75.2,8.05
150,khatanga,71.0,RU,1566176791,72.0,71.98,102.47,63.84,5.19
151,deniliquin,0.0,AU,1566176793,67.0,-35.53,144.96,51.01,13.0
152,clyde river,1.0,CA,1566176796,87.0,70.47,-68.59,44.6,4.7
153,dabakala,18.0,CI,1566176799,98.0,8.36,-4.43,70.32,3.98
154,port elizabeth,1.0,US,1566176802,78.0,39.31,-74.98,82.0,4.7
155,cayenne,6.0,GF,1566176805,94.0,4.94,-52.33,73.4,3.36
156,qaanaaq,100.0,GL,1566176808,74.0,77.48,-69.36,38.28,1.88
157,tsihombe,,,,,,,,
158,kyaikkami,100.0,MM,1566176813,84.0,16.08,97.57,81.3,14.47
159,saint anthony,1.0,US,1566176816,16.0,43.97,-111.68,86.0,12.75
160,provideniya,0.0,RU,1566176819,66.0,64.42,-173.23,53.6,13.42
161,tuatapere,98.0,NZ,1566176822,63.0,-46.13,167.69,50.0,4.0
162,dicabisagan,100.0,PH,1566176825,84.0,17.08,122.42,80.94,1.61
163,noumea,75.0,NC,1566176828,50.0,-22.28,166.46,75.2,5.82
164,zvishavane,0.0,ZW,1566176831,89.0,-20.32,30.05,53.76,2.44
165,katakwi,36.0,UG,1566176833,82.0,1.91,33.96,67.62,3.15
166,thompson,75.0,CA,1566176837,87.0,55.74,-97.86,55.4,10.29
167,clovis,1.0,US,1566176840,25.0,36.83,-119.7,96.8,10.29
168,laguna,75.0,BZ,1566176837,70.0,16.17,-88.94,84.2,5.06
169,namibe,37.0,AO,1566176846,91.0,-15.19,12.15,63.3,12.59
170,yerbogachen,100.0,RU,1566176848,88.0,61.28,108.01,53.4,3.94
171,bilibino,99.0,RU,1566176823,80.0,68.06,166.44,51.42,3.09
172,lavrentiya,100.0,RU,1566176854,92.0,65.58,-170.99,45.66,3.02
173,tulun,100.0,RU,1566176857,72.0,54.56,100.58,54.66,3.22
174,ponta delgada,75.0,PT,1566176859,93.0,37.73,-25.67,66.2,10.29
175,tautira,20.0,PF,1566176862,58.0,-17.73,-149.15,84.2,11.41
176,biltine,100.0,TD,1566176865,76.0,14.53,20.93,75.72,8.88
177,toliary,,,,,,,,
178,tessalit,21.0,ML,1566176870,22.0,20.2,1.01,94.8,6.2
179,marawi,17.0,PH,1566176873,79.0,8.0,124.29,82.0,5.99
180,khor,27.0,RU,1566176876,88.0,47.88,134.96,67.8,10.02
181,caravelas,20.0,BR,1566176879,76.0,-17.73,-39.27,71.94,10.98
182,sorland,17.0,NO,1566176881,91.0,67.67,12.69,53.94,4.05
183,pangnirtung,78.0,CA,1566176884,71.0,66.15,-65.72,42.78,2.17
184,oktyabrskiy,90.0,RU,1566176887,87.0,55.61,37.97,62.6,4.47
185,kattivakkam,40.0,IN,1566176890,88.0,13.22,80.32,80.6,6.93
186,skjervoy,73.0,NO,1566176881,79.0,70.03,20.97,55.02,10.29
187,troitskoye,87.0,RU,1566176895,82.0,52.98,84.68,59.7,2.66
188,cabatuan,100.0,PH,1566176898,77.0,16.95,121.67,80.4,2.91
189,dzhebariki-khaya,86.0,RU,1566176901,47.0,62.22,135.8,64.92,3.49
190,port hardy,75.0,CA,1566176904,72.0,50.7,-127.42,66.2,11.41
191,kamenka,0.0,MD,1566176906,88.0,48.03,28.7,52.0,2.15
192,uyuni,72.0,BO,1566176909,18.0,-20.46,-66.82,45.48,9.53
193,firozpur,40.0,IN,1566176912,83.0,30.96,74.61,77.0,2.24
194,guane,30.0,CU,1566176915,73.0,22.2,-84.09,85.8,19.91
195,yumen,90.0,CN,1566176918,49.0,40.29,97.04,67.44,8.93
196,atasu,0.0,KZ,1566176920,71.0,48.68,71.64,57.36,2.62
197,nikolskoye,6.0,RU,1566176923,100.0,59.7,30.79,55.0,4.47
198,nemuro,75.0,JP,1566176926,93.0,43.32,145.57,59.0,5.82
199,hirara,75.0,JP,1566176929,88.0,24.8,125.28,82.4,3.36
200,tailai,89.0,CN,1566176931,74.0,46.39,123.41,62.22,5.68
201,marcona,,,,,,,,
202,acarau,,,,,,,,
203,matagami,100.0,NG,1566176940,94.0,9.67,8.4,69.24,2.64
204,mendahara,,,,,,,,
205,salem,1.0,US,1566176905,42.0,44.94,-123.03,82.99,8.05
206,guerrero negro,0.0,MX,1566176948,87.0,27.97,-114.04,64.56,13.71
207,pilibanga,5.0,IN,1566176951,63.0,29.49,74.08,85.62,7.31
208,sharjah,0.0,AE,1566176932,44.0,25.36,55.39,95.0,8.05
209,nikolayevsk-na-amure,98.0,RU,1566176956,84.0,53.14,140.72,57.0,3.18
210,roma,0.0,IT,1566176870,60.0,41.89,12.48,73.99,3.36
211,forestville,20.0,CA,1566176858,88.0,48.74,-69.09,68.0,3.36
212,lahad datu,63.0,MY,1566176964,82.0,5.02,118.33,77.52,1.1
213,pandan,52.0,PH,1566176967,80.0,11.72,122.09,83.1,14.34
214,susangerd,0.0,IR,1566176970,32.0,31.56,48.19,84.2,2.24
215,hami,100.0,CN,1566176973,39.0,42.84,93.51,68.7,19.8
216,hasaki,75.0,JP,1566176975,94.0,35.73,140.83,82.4,9.17
217,asosa,0.0,ET,1566176978,84.0,10.07,34.53,62.76,3.2
218,pisco,75.0,PE,1566176981,82.0,-13.71,-76.2,60.8,4.7
219,bolungarvik,,,,,,,,
220,makakilo city,90.0,US,1566176987,58.0,21.35,-158.09,91.4,3.36
221,bend,1.0,US,1566176850,18.0,44.06,-121.32,89.6,14.99
222,pangai,90.0,TO,1566176992,100.0,-19.8,-174.35,73.4,9.17
223,wangqing,88.0,CN,1566176995,95.0,43.31,129.76,62.76,3.38
224,dingle,89.0,PH,1566176998,77.0,11.0,122.67,79.86,0.98
225,codrington,0.0,AU,1566177001,38.0,-28.95,153.24,77.0,14.99
226,talnakh,0.0,RU,1566176857,87.0,69.49,88.39,57.2,6.71
227,kedougou,0.0,SN,1566177006,83.0,12.56,-12.19,75.2,4.7
228,samusu,,,,,,,,
229,porto walter,61.0,BR,1566177012,53.0,-8.27,-72.74,80.04,2.04
230,paita,51.0,PE,1566177015,92.0,-5.09,-81.11,61.32,20.4
231,voh,0.0,NC,1566177017,70.0,-20.95,164.69,69.24,13.94
232,mbengwi,100.0,CM,1566177020,98.0,6.0,10.01,61.86,4.03
233,verkhoyansk,97.0,RU,1566177023,63.0,67.55,133.39,62.22,1.83
234,xichang,84.0,CN,1566177026,92.0,27.88,102.25,61.5,1.1
235,tutoia,68.0,BR,1566177029,85.0,-2.76,-42.27,74.82,5.75
236,leningradskiy,100.0,RU,1566177032,97.0,69.38,178.42,44.4,3.98
237,anadyr,75.0,RU,1566177035,87.0,64.73,177.51,53.6,4.47
238,akdepe,0.0,TM,1566177038,40.0,42.05,59.39,75.2,6.93
239,upernavik,0.0,GL,1566176811,69.0,72.79,-56.15,41.34,2.73
240,alice springs,0.0,AU,1566176951,43.0,-23.7,133.88,51.8,19.46
241,kalmunai,86.0,LK,1566177046,88.0,7.42,81.82,75.36,1.7
242,muros,0.0,ES,1566177049,100.0,42.77,-9.06,63.0,1.12
243,iqaluit,40.0,CA,1566176828,87.0,63.75,-68.52,42.8,3.36
244,boende,22.0,CD,1566177054,78.0,-0.28,20.88,73.56,2.21
245,ayagoz,33.0,KZ,1566177057,69.0,47.96,80.43,55.92,5.84
246,mayskiy,75.0,RU,1566177060,77.0,43.63,44.06,69.8,2.24
247,lar,0.0,IR,1566176888,60.0,27.66,54.32,75.2,0.6
248,nanzhou,0.0,CN,1566177065,79.0,29.37,112.41,81.12,7.23
249,port lincoln,68.0,AU,1566177068,65.0,-34.72,135.86,53.94,20.58
250,mosetse,0.0,BW,1566177071,67.0,-20.64,26.64,56.1,11.18
251,katherine,75.0,AU,1566177074,51.0,-14.47,132.26,84.2,3.36
252,buenaventura,0.0,CO,1566177076,83.0,3.89,-77.07,79.68,10.27
253,san jose,90.0,HN,1566177079,100.0,14.25,-87.96,73.4,9.17
254,calvinia,38.0,ZA,1566177082,87.0,-31.47,19.78,47.1,4.5
255,butler,90.0,US,1566177085,88.0,41.43,-84.87,77.0,16.11
256,sao benedito do rio preto,50.0,BR,1566177088,61.0,-3.33,-43.53,77.88,3.89
257,geraldton,75.0,CA,1566177091,93.0,49.72,-86.95,60.8,8.05
258,barkhan,0.0,PK,1566177094,70.0,29.9,69.52,75.72,7.0
259,jaru,74.0,BR,1566177096,47.0,-10.43,-62.48,83.1,3.53
260,armizonskoye,100.0,RU,1566177099,93.0,55.95,67.67,57.54,6.15
261,sioux lookout,40.0,CA,1566177102,42.0,50.1,-91.92,68.0,6.93
262,balkanabat,0.0,TM,1566177105,15.0,39.51,54.36,83.28,12.26
263,vinh,97.0,VN,1566177109,75.0,18.67,105.69,81.48,3.04
264,grand gaube,75.0,MU,1566177029,94.0,-20.01,57.66,69.01,12.44
265,lorengau,15.0,PG,1566177114,81.0,-2.02,147.27,82.2,9.93
266,ilhabela,50.0,BR,1566177117,64.0,-23.78,-45.36,75.9,5.68
267,bitung,20.0,ID,1566177120,58.0,1.44,125.19,87.8,2.59
268,bemidji,1.0,US,1566176897,52.0,47.48,-94.89,68.0,4.7
269,rantepao,87.0,ID,1566177035,93.0,-2.97,119.9,62.22,2.66
270,remontnoye,0.0,RU,1566177128,49.0,46.56,43.66,69.8,6.71
271,macheng,9.0,CN,1566177131,68.0,31.18,115.03,82.56,3.33
272,guaruja,0.0,BR,1566177134,68.0,-23.99,-46.26,69.8,13.87
273,cacu,82.0,BR,1566177137,37.0,-18.56,-51.13,79.32,4.41
274,arraial do cabo,2.0,BR,1566177139,66.0,-22.97,-42.02,73.74,7.65
275,tiksi,75.0,RU,1566177130,78.0,71.64,128.87,51.42,2.15
276,terrace,75.0,CA,1566177057,63.0,54.52,-128.61,62.6,12.75
277,quelimane,40.0,MZ,1566177148,93.0,-17.88,36.89,66.2,4.7
278,sao joao da barra,14.0,BR,1566177078,68.0,-21.64,-41.05,68.88,2.55
279,vuktyl,0.0,RU,1566177153,90.0,63.86,57.31,49.26,2.84
280,boa vista,0.0,BR,1566177062,88.0,2.82,-60.67,77.0,3.36
281,jawhar,13.0,IN,1566177159,95.0,19.91,73.23,74.82,4.14
282,college,1.0,US,1566177127,38.0,64.86,-147.8,59.0,6.93
283,cabo san lucas,5.0,MX,1566176875,49.0,22.89,-109.91,91.4,11.41
284,la ronge,75.0,CA,1566177167,71.0,55.1,-105.3,55.4,11.41
285,samalaeulu,,,,,,,,
286,nizhneyansk,,,,,,,,
287,mindyak,40.0,RU,1566177175,93.0,54.02,58.79,60.8,8.95
288,chizhou,17.0,CN,1566177178,82.0,30.67,117.49,76.98,8.1
289,cidreira,38.0,BR,1566177140,70.0,-30.17,-50.22,51.42,15.59
290,rauma,100.0,FI,1566177184,93.0,61.13,21.5,60.8,14.99
291,luau,0.0,CD,1566177187,32.0,-10.7,22.23,64.74,4.52
292,villazon,,,,,,,,
293,fort nelson,90.0,CA,1566177138,87.0,58.81,-122.69,44.6,6.93
294,baoro,40.0,CF,1566177195,96.0,5.69,15.95,64.92,1.97
295,trairi,66.0,BR,1566177198,86.0,-3.28,-39.27,72.12,4.99
296,del rio,1.0,US,1566177201,29.0,29.36,-100.9,102.2,9.17
297,barbar,,,,,,,,
298,marsh harbour,19.0,BS,1566177207,74.0,26.54,-77.06,84.0,15.97
299,avera,1.0,US,1566177209,62.0,33.19,-82.53,86.0,5.82
300,saint-philippe,90.0,CA,1566177106,88.0,45.36,-73.48,78.8,5.14
301,smirnykh,100.0,RU,1566177215,96.0,49.74,142.83,49.44,4.41
302,diamantina,0.0,BR,1566177218,36.0,-18.24,-43.6,66.36,3.94
303,puerto quijarro,29.0,BO,1566177221,35.0,-19.0,-57.72,80.22,6.53
304,roald,94.0,NO,1566177224,81.0,62.58,6.12,55.99,5.82
305,kamenskoye,,,,,,,,
306,bengkulu,,,,,,,,
307,fez,0.0,MA,1566177233,52.0,34.03,-5.02,69.8,5.82
308,cururupu,38.0,BR,1566177236,92.0,-1.82,-44.87,72.66,2.62
309,hualmay,95.0,PE,1566177238,86.0,-11.1,-77.61,59.52,10.27
310,esperance,90.0,AU,1566177241,93.0,-33.86,121.89,46.4,8.05
311,akyab,,,,,,,,
